Name of the anime,Rating,Ranking,Followers,Type,Episodes,License,Study,Genre,Demographics,Age
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,7.16,740,"242,741",Movie,1,None found,A-1 Pictures,"Action,Adventure,Fantasy,Supernatural",Shounen,PG-13 - Teens 13 or older
Full Metal Panic! The Second Raid,7.94,741,"239,661",TV,13,"ADV Films,Funimation,Kadokawa Pictures USA",Kyoto Animation,NULL,NULL,R - 17+ (violence & profanity)
Mahoutsukai no Yome: Hoshi Matsu Hito,8.12,742,"240,468",OVA,3,Crunchyroll,Wit Studio,"Fantasy,Slice of Life",Shounen,PG-13 - Teens 13 or older
Kanata no Astra,8.12,743,"241,129",TV,12,Funimation,Lerche,"Adventure,Mystery,Sci-Fi",Shounen,PG-13 - Teens 13 or older
Bleach Movie 1: Memories of Nobody,7.44,744,"239,259",Movie,1,VIZ Media,Studio Pierrot,"Action,Adventure,Comedy,Supernatural",Shounen,PG-13 - Teens 13 or older
InuYasha: Kanketsu-hen,8.21,745,"239,539",TV,26,VIZ Media,Sunrise,"Action,Adventure,Comedy,Fantasy,Romance,Supernatural",Shounen,PG-13 - Teens 13 or older
Isekai Cheat Magician,5.41,746,"241,313",TV,12,None found,Encourage Films,"Action,Adventure,Fantasy",NULL,PG-13 - Teens 13 or older
Nyan Koi!,7.16,747,"238,991",TV,12,Sentai Filmworks,AIC,"Comedy,Romance",NULL,PG-13 - Teens 13 or older
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.81,748,"238,835",Special,1,Sentai Filmworks,Kyoto Animation,"Drama,Romance",NULL,PG-13 - Teens 13 or older
Skip Beat!,8.1,749,"238,310",TV,25,Pied Piper,Hal Film Maker,"Comedy,Drama,Romance",Shoujo,PG-13 - Teens 13 or older
Persona 4 the Animation,7.51,750,"238,075",TV,25,Sentai Filmworks,AIC ASTA,"Action,Adventure,Mystery,Sci-Fi,Supernatural",NULL,PG-13 - Teens 13 or older
Black Lagoon: Roberta's Blood Trail,8.03,751,"238,125",OVA,5,Funimation,Madhouse,NULL,Seinen,R+ - Mild Nudity
Fate/kaleid liner Prisma☆Illya,7.07,752,"238,060",TV,10,Sentai Filmworks,SILVER LINK.,"Action,Comedy,Fantasy",NULL,PG-13 - Teens 13 or older
Kaze ga Tsuyoku Fuiteiru,8.42,753,"239,433",TV,23,Sentai Filmworks,Production I.G,"Comedy,Drama,Sports",NULL,PG-13 - Teens 13 or older
Ao no Exorcist Movie,7.6,754,"237,833",Movie,1,Aniplex of America,A-1 Pictures,"Action,Fantasy,Supernatural",Shounen,PG-13 - Teens 13 or older
Working'!!,7.85,755,"237,290",TV,13,"NIS America,Inc.",A-1 Pictures,"Comedy,Romance,Slice of Life",Seinen,PG-13 - Teens 13 or older
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,7.56,756,"238,624",Movie,1,None found,White Fox,"Drama,Fantasy",NULL,PG-13 - Teens 13 or older
