Name of the anime,Rating,Ranking,Followers,Type,Episodes,License,Study,Genre,Demographics,Age
Yuru Yuri♪♪,7.84,1095,"161,752",TV,12,"NIS America,Inc.",Doga Kobo,"Comedy,Girls Love,Slice of Life",NULL,PG-13 - Teens 13 or older
Seiken no Blacksmith,6.7,1096,"161,575",TV,12,Funimation,Manglobe,"Action,Adventure,Fantasy",NULL,R+ - Mild Nudity
Saint Seiya,7.75,1097,"161,379",TV,114,"ADV Films,DiC Entertainment,Flatiron Film Company",Toei Animation,"Adventure,Fantasy,Sci-Fi",Shounen,PG-13 - Teens 13 or older
Haiyore! Nyaruko-san W,7.25,1098,"161,579",TV,12,"NIS America,Inc.",Xebec,"Comedy,Sci-Fi",NULL,PG-13 - Teens 13 or older
Rokujouma no Shinryakusha!? (TV),7.15,1099,"161,097",TV,12,Sentai Filmworks,SILVER LINK.,"Comedy,Supernatural",NULL,PG-13 - Teens 13 or older
Brothers Conflict,6.03,1100,"160,923",TV,12,Funimation,Brain's Base,NULL,Shoujo,PG-13 - Teens 13 or older
Genshiken,7.65,1101,"160,150",TV,12,Media Blasters,Palm Studio,"Comedy,Slice of Life",NULL,PG-13 - Teens 13 or older
Watashi ni Tenshi ga Maiorita!,7.32,1102,"161,622",TV,12,None found,Doga Kobo,"Comedy,Girls Love,Slice of Life",NULL,PG-13 - Teens 13 or older
Pokemon Advanced Generation,7.09,1103,"160,069",TV,192,"VIZ Media,4Kids Entertainment,The Pokemon Company International",OLM,"Action,Adventure,Comedy,Fantasy",Kids,PG - Children
Qualidea Code,6.49,1104,"160,747",TV,12,None found,A-1 Pictures,"Action,Supernatural",NULL,PG-13 - Teens 13 or older
Ryuuou no Oshigoto!,6.88,1105,"160,827",TV,12,None found,Project No.9,"Comedy,Slice of Life",NULL,PG-13 - Teens 13 or older
Boku no Pico,4.27,1106,"159,692",OVA,1,None found,"Sugar Boy,       Blue Cat","Boys Love,Hentai",NULL,Rx - Hentai
Busou Renkin,7.33,1107,"159,484",TV,26,VIZ Media,Xebec,"Action,Comedy,Fantasy,Supernatural",Shounen,PG-13 - Teens 13 or older
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,8.11,1108,"161,668",ONA,6,None found,"J.C.Staff,       Egg Firm","Comedy,Slice of Life,Supernatural",Shounen,PG-13 - Teens 13 or older
Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,1109,"160,451",TV,26,Sentai Filmworks,Madhouse,NULL,Seinen,R - 17+ (violence & profanity)
Hyouka: Motsubeki Mono wa,7.36,1110,"159,763",OVA,1,Funimation,Kyoto Animation,"Mystery,Slice of Life",NULL,PG-13 - Teens 13 or older
Hataage! Kemono Michi,6.64,1111,"160,245",TV,12,Funimation,ENGI,"Comedy,Fantasy",Shounen,PG-13 - Teens 13 or older
Shuumatsu no Izetta,6.76,1112,"159,442",TV,12,"Funimation,Crunchyroll",Ajia-Do,NULL,NULL,R - 17+ (violence & profanity)
Kokkoku,7.01,1113,"159,471",TV,12,Sentai Filmworks,Geno Studio,"Drama,Mystery,Supernatural",Seinen,R - 17+ (violence & profanity)
Dragon Crisis!,6.67,1114,"158,917",TV,12,None found,Studio Deen,"Action,Romance,Supernatural",Seinen,PG-13 - Teens 13 or older
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.76,1115,"159,430",TV,12,None found,Studio Deen,NULL,Josei,PG-13 - Teens 13 or older
,,,,,,,,,,
